Number Threads,Number Samples,Number Dimensions,Number Clusters,Spread,Seed,Run Time (s),Did Reach Convergence?,Iteration Count,Max Centroid Difference
1,1000000,25,50,3.5,1234,150.197,yes,250,0
1,1000000,25,50,3.5,1234,150.37,yes,250,0
1,1000000,25,50,3.5,1234,147.955,yes,250,0
1,1000000,25,50,3.5,1234,147.631,yes,250,0
1,1000000,25,50,3.5,1234,148.533,yes,250,0
1,1000000,25,50,3.5,1234,147.78,yes,250,0
1,1000000,25,50,3.5,1234,147.993,yes,250,0
1,1000000,25,50,3.5,1234,147.973,yes,250,0
1,1000000,25,50,3.5,1234,147.832,yes,250,0
1,1000000,25,50,3.5,1234,148.09,yes,250,0
2,1000000,25,50,3.5,1234,74.8901,yes,250,0
2,1000000,25,50,3.5,1234,75.3535,yes,250,0
2,1000000,25,50,3.5,1234,74.3914,yes,250,0
2,1000000,25,50,3.5,1234,74.3824,yes,250,0
2,1000000,25,50,3.5,1234,74.2317,yes,250,0
2,1000000,25,50,3.5,1234,74.3321,yes,250,0
2,1000000,25,50,3.5,1234,74.2427,yes,250,0
2,1000000,25,50,3.5,1234,74.2887,yes,250,0
2,1000000,25,50,3.5,1234,74.2649,yes,250,0
2,1000000,25,50,3.5,1234,74.2541,yes,250,0
3,1000000,25,50,3.5,1234,49.6321,yes,250,0
3,1000000,25,50,3.5,1234,49.7728,yes,250,0
3,1000000,25,50,3.5,1234,49.551,yes,250,0
3,1000000,25,50,3.5,1234,49.401,yes,250,0
3,1000000,25,50,3.5,1234,49.4516,yes,250,0
3,1000000,25,50,3.5,1234,49.3766,yes,250,0
3,1000000,25,50,3.5,1234,49.3972,yes,250,0
3,1000000,25,50,3.5,1234,49.3619,yes,250,0
3,1000000,25,50,3.5,1234,49.3992,yes,250,0
3,1000000,25,50,3.5,1234,49.3772,yes,250,0
4,1000000,25,50,3.5,1234,37.4253,yes,250,0
4,1000000,25,50,3.5,1234,37.3168,yes,250,0
4,1000000,25,50,3.5,1234,37.2954,yes,250,0
4,1000000,25,50,3.5,1234,37.3251,yes,250,0
4,1000000,25,50,3.5,1234,37.3192,yes,250,0
4,1000000,25,50,3.5,1234,37.345,yes,250,0
4,1000000,25,50,3.5,1234,37.2388,yes,250,0
4,1000000,25,50,3.5,1234,37.2925,yes,250,0
4,1000000,25,50,3.5,1234,37.351,yes,250,0
4,1000000,25,50,3.5,1234,37.2357,yes,250,0
5,1000000,25,50,3.5,1234,29.918,yes,250,0
5,1000000,25,50,3.5,1234,29.8547,yes,250,0
5,1000000,25,50,3.5,1234,29.8619,yes,250,0
5,1000000,25,50,3.5,1234,29.8742,yes,250,0
5,1000000,25,50,3.5,1234,29.7376,yes,250,0
5,1000000,25,50,3.5,1234,29.7754,yes,250,0
5,1000000,25,50,3.5,1234,29.7483,yes,250,0
5,1000000,25,50,3.5,1234,30.0036,yes,250,0
5,1000000,25,50,3.5,1234,29.7446,yes,250,0
5,1000000,25,50,3.5,1234,29.7835,yes,250,0
6,1000000,25,50,3.5,1234,24.9187,yes,250,0
6,1000000,25,50,3.5,1234,24.9102,yes,250,0
6,1000000,25,50,3.5,1234,24.7968,yes,250,0
6,1000000,25,50,3.5,1234,24.8146,yes,250,0
6,1000000,25,50,3.5,1234,24.8279,yes,250,0
6,1000000,25,50,3.5,1234,24.7905,yes,250,0
6,1000000,25,50,3.5,1234,24.7774,yes,250,0
6,1000000,25,50,3.5,1234,24.803,yes,250,0
6,1000000,25,50,3.5,1234,24.913,yes,250,0
6,1000000,25,50,3.5,1234,24.791,yes,250,0
7,1000000,25,50,3.5,1234,21.3777,yes,250,0
7,1000000,25,50,3.5,1234,21.4261,yes,250,0
7,1000000,25,50,3.5,1234,21.2979,yes,250,0
7,1000000,25,50,3.5,1234,21.3308,yes,250,0
7,1000000,25,50,3.5,1234,21.2918,yes,250,0
7,1000000,25,50,3.5,1234,21.2688,yes,250,0
7,1000000,25,50,3.5,1234,21.2804,yes,250,0
7,1000000,25,50,3.5,1234,21.2693,yes,250,0
7,1000000,25,50,3.5,1234,21.2699,yes,250,0
7,1000000,25,50,3.5,1234,21.2876,yes,250,0
8,1000000,25,50,3.5,1234,18.9205,yes,250,0
8,1000000,25,50,3.5,1234,18.8488,yes,250,0
8,1000000,25,50,3.5,1234,18.7427,yes,250,0
8,1000000,25,50,3.5,1234,18.7686,yes,250,0
8,1000000,25,50,3.5,1234,18.8258,yes,250,0
8,1000000,25,50,3.5,1234,18.7464,yes,250,0
8,1000000,25,50,3.5,1234,18.7339,yes,250,0
8,1000000,25,50,3.5,1234,18.7277,yes,250,0
8,1000000,25,50,3.5,1234,18.7351,yes,250,0
8,1000000,25,50,3.5,1234,18.7419,yes,250,0
9,1000000,25,50,3.5,1234,16.8055,yes,250,0
9,1000000,25,50,3.5,1234,16.6196,yes,250,0
9,1000000,25,50,3.5,1234,16.5489,yes,250,0
9,1000000,25,50,3.5,1234,16.552,yes,250,0
9,1000000,25,50,3.5,1234,16.5646,yes,250,0
9,1000000,25,50,3.5,1234,16.5311,yes,250,0
9,1000000,25,50,3.5,1234,16.5331,yes,250,0
9,1000000,25,50,3.5,1234,16.6502,yes,250,0
9,1000000,25,50,3.5,1234,16.5601,yes,250,0
9,1000000,25,50,3.5,1234,16.6116,yes,250,0
10,1000000,25,50,3.5,1234,15.1372,yes,250,0
10,1000000,25,50,3.5,1234,14.9729,yes,250,0
10,1000000,25,50,3.5,1234,14.9165,yes,250,0
10,1000000,25,50,3.5,1234,14.9776,yes,250,0
10,1000000,25,50,3.5,1234,14.9405,yes,250,0
10,1000000,25,50,3.5,1234,14.9766,yes,250,0
10,1000000,25,50,3.5,1234,14.9959,yes,250,0
10,1000000,25,50,3.5,1234,14.9196,yes,250,0
10,1000000,25,50,3.5,1234,14.9103,yes,250,0
10,1000000,25,50,3.5,1234,14.9265,yes,250,0
